,Date,Season,Team,상대팀,R,RECp,pita
183,2019-04-04,2019,한화,LG,3.8,3.6,0.527007299270073
184,2019-04-05,2019,NC,두산,2.2,6.4,0.1056768558951965
185,2019-04-05,2019,두산,NC,6.2,6.2,0.5
186,2019-04-05,2019,삼성,SK,4.8,3.4,0.6658959537572255
187,2019-04-05,2019,SK,삼성,5.4,5.0,0.5384047267355982
188,2019-04-05,2019,한화,롯데,3.0,5.2,0.2497225305216426
189,2019-04-05,2019,롯데,한화,4.2,4.8,0.4336283185840708
190,2019-04-05,2019,LG,KT,5.0,2.6,0.7871536523929471
191,2019-04-05,2019,KT,LG,4.0,3.4,0.5805515239477503
192,2019-04-05,2019,키움,KIA,5.4,4.0,0.645704162976085
193,2019-04-05,2019,KIA,키움,5.8,5.0,0.5736698499317872
194,2019-04-06,2019,NC,두산,3.2,6.2,0.2103533278553821
195,2019-04-06,2019,두산,NC,4.2,6.6,0.2882352941176471
196,2019-04-06,2019,삼성,SK,4.2,3.8,0.5498753117206983
197,2019-04-06,2019,SK,삼성,5.2,4.6,0.5609958506224066
198,2019-04-06,2019,한화,롯데,3.2,4.8,0.30769230769230776
199,2019-04-06,2019,롯데,한화,4.2,2.6,0.7229508196721312
200,2019-04-06,2019,LG,KT,7.2,1.4,0.9635687732342008
201,2019-04-06,2019,KT,LG,2.6,5.8,0.16732673267326734
202,2019-04-06,2019,키움,KIA,5.0,4.8,0.5203996669442131
203,2019-04-06,2019,KIA,키움,6.8,5.2,0.631004366812227
204,2019-04-07,2019,NC,두산,3.6,5.4,0.30769230769230765
205,2019-04-07,2019,두산,NC,4.6,6.6,0.32694684796044493
206,2019-04-07,2019,삼성,SK,3.0,2.6,0.5710659898477157
207,2019-04-07,2019,SK,삼성,3.8,4.0,0.4743758212877793
208,2019-04-07,2019,한화,롯데,3.4,5.6,0.26933830382106244
209,2019-04-07,2019,롯데,한화,4.8,3.4,0.6658959537572255
210,2019-04-07,2019,LG,KT,6.6,1.4,0.9569420035149384
211,2019-04-07,2019,KT,LG,2.0,4.8,0.14792899408284024
212,2019-04-09,2019,KT,키움,6.0,6.6,0.45248868778280543
213,2019-04-09,2019,키움,KT,5.4,2.2,0.8576470588235293
214,2019-04-10,2019,삼성,LG,1.6,5.0,0.09288824383164007
215,2019-04-10,2019,LG,삼성,3.6,4.2,0.4235294117647059
216,2019-04-10,2019,두산,롯데,6.6,4.8,0.654054054054054
217,2019-04-10,2019,롯데,두산,4.6,4.2,0.545360824742268
218,2019-04-10,2019,NC,KIA,7.4,4.8,0.7038560411311053
219,2019-04-10,2019,KIA,NC,3.6,6.4,0.24035608308605338
220,2019-04-10,2019,KT,키움,5.4,6.4,0.4158585282373075
221,2019-04-10,2019,키움,KT,5.8,2.6,0.8326732673267327
222,2019-04-10,2019,SK,한화,4.6,5.4,0.42050874403815575
223,2019-04-10,2019,한화,SK,2.4,3.2,0.36
224,2019-04-11,2019,삼성,LG,2.8,4.6,0.27034482758620687
225,2019-04-11,2019,LG,삼성,4.0,4.2,0.4756242568370987
226,2019-04-11,2019,두산,롯데,7.0,4.4,0.716793446459918
227,2019-04-11,2019,롯데,두산,4.6,3.8,0.5943820224719101
228,2019-04-11,2019,NC,KIA,7.4,4.4,0.7388019427954668
229,2019-04-11,2019,KIA,NC,3.8,4.8,0.38527214514407687
230,2019-04-11,2019,KT,키움,4.0,7.0,0.24615384615384617
231,2019-04-11,2019,키움,KT,5.6,2.2,0.8662983425414365
232,2019-04-11,2019,SK,한화,4.8,6.0,0.3902439024390244
233,2019-04-11,2019,한화,SK,2.4,4.6,0.21396731054977716
234,2019-04-12,2019,두산,LG,2.8,5.4,0.21189189189189186
235,2019-04-12,2019,LG,두산,4.0,3.8,0.5256241787122208
236,2019-04-12,2019,KIA,SK,1.2,3.4,0.11076923076923079
237,2019-04-12,2019,SK,KIA,7.0,4.2,0.7352941176470588
238,2019-04-12,2019,KT,삼성,3.6,2.2,0.7280898876404495
239,2019-04-12,2019,삼성,KT,3.2,3.8,0.41491085899513785
240,2019-04-12,2019,한화,키움,4.6,6.0,0.37018894331700486
241,2019-04-12,2019,키움,한화,4.8,5.6,0.42352941176470593
242,2019-04-12,2019,롯데,NC,3.0,4.6,0.2984084880636605
243,2019-04-12,2019,NC,롯데,6.6,3.4,0.7902757619738753
244,2019-04-13,2019,두산,LG,2.8,3.4,0.40412371134020614
245,2019-04-13,2019,LG,두산,3.2,3.2,0.5
246,2019-04-13,2019,KIA,SK,2.0,3.6,0.23584905660377356
247,2019-04-13,2019,SK,KIA,5.4,3.6,0.6923076923076923
248,2019-04-13,2019,KT,삼성,3.0,3.2,0.46777546777546775
249,2019-04-13,2019,삼성,KT,4.0,3.4,0.5805515239477503
250,2019-04-13,2019,롯데,NC,2.6,3.6,0.34279918864097364
251,2019-04-13,2019,NC,롯데,6.6,2.6,0.8656597774244833
252,2019-04-13,2019,한화,키움,4.0,6.2,0.2939015429831006
253,2019-04-13,2019,키움,한화,4.8,5.8,0.4064925899788285
254,2019-04-14,2019,두산,LG,2.8,4.2,0.30769230769230765
255,2019-04-14,2019,LG,두산,3.0,2.6,0.5710659898477157
256,2019-04-14,2019,KIA,SK,3.0,4.0,0.36
257,2019-04-14,2019,SK,KIA,5.4,3.6,0.6923076923076923
258,2019-04-14,2019,KT,삼성,3.6,3.6,0.5
259,2019-04-14,2019,삼성,KT,4.0,3.6,0.5524861878453039
260,2019-04-14,2019,롯데,NC,2.6,3.8,0.3188679245283019
261,2019-04-14,2019,NC,롯데,6.6,1.8,0.9307692307692307
262,2019-04-14,2019,한화,키움,3.8,4.4,0.4272189349112425
263,2019-04-14,2019,키움,한화,4.0,5.0,0.3902439024390244
264,2019-04-16,2019,SK,두산,2.0,3.6,0.23584905660377356
265,2019-04-16,2019,두산,SK,3.4,3.8,0.4446153846153846
266,2019-04-16,2019,KIA,롯데,5.0,1.8,0.8852691218130311
267,2019-04-16,2019,롯데,KIA,3.0,3.6,0.4098360655737705
268,2019-04-16,2019,LG,NC,2.2,4.4,0.2
269,2019-04-16,2019,NC,LG,3.6,3.6,0.5
270,2019-04-16,2019,한화,KT,5.4,5.4,0.5
271,2019-04-16,2019,KT,한화,4.2,2.4,0.7538461538461539
272,2019-04-16,2019,키움,삼성,5.4,6.0,0.4475138121546962
273,2019-04-16,2019,삼성,키움,3.8,3.4,0.5553846153846154
274,2019-04-17,2019,SK,두산,2.4,4.6,0.21396731054977716
275,2019-04-17,2019,두산,SK,4.4,2.8,0.711764705882353
276,2019-04-17,2019,KIA,롯데,6.2,3.6,0.7478599221789883
277,2019-04-17,2019,롯데,KIA,4.8,5.0,0.4796003330557868
278,2019-04-17,2019,LG,NC,3.2,4.6,0.32611464968152876
279,2019-04-17,2019,NC,LG,2.8,4.0,0.32885906040268453
280,2019-04-17,2019,한화,KT,5.0,5.8,0.42633015006821284
281,2019-04-17,2019,KT,한화,3.4,2.2,0.7048780487804878
282,2019-04-17,2019,키움,삼성,5.2,4.8,0.5399361022364217
283,2019-04-17,2019,삼성,키움,3.4,3.4,0.5
284,2019-04-18,2019,SK,두산,2.8,6.0,0.17883211678832117
285,2019-04-18,2019,두산,SK,6.8,3.2,0.8186968838526911
286,2019-04-18,2019,KIA,롯데,6.4,5.0,0.6209824135839903
287,2019-04-18,2019,롯데,KIA,5.6,5.8,0.4824615384615384
288,2019-04-18,2019,LG,NC,3.6,4.2,0.4235294117647059
289,2019-04-18,2019,NC,LG,2.8,3.8,0.3518850987432675
290,2019-04-18,2019,한화,KT,6.4,5.2,0.6023529411764705
291,2019-04-18,2019,KT,한화,4.2,3.8,0.5498753117206983
292,2019-04-18,2019,키움,삼성,5.2,5.0,0.5196003074558032
293,2019-04-18,2019,삼성,키움,2.4,4.2,0.24615384615384617
294,2019-04-19,2019,키움,LG,3.0,4.4,0.3173483779971791
295,2019-04-19,2019,LG,키움,2.8,4.0,0.32885906040268453
296,2019-04-19,2019,NC,SK,6.6,3.2,0.8096654275092936
297,2019-04-19,2019,SK,NC,4.6,4.0,0.5694294940796555
298,2019-04-19,2019,KT,롯데,7.8,6.8,0.5681733283526336
299,2019-04-19,2019,롯데,KT,6.4,6.4,0.5
300,2019-04-19,2019,두산,KIA,6.8,6.8,0.5
301,2019-04-19,2019,KIA,두산,3.0,6.6,0.17123287671232879
302,2019-04-19,2019,삼성,한화,4.4,4.2,0.5232432432432433
303,2019-04-19,2019,한화,삼성,6.0,5.0,0.5901639344262295
304,2019-04-20,2019,키움,LG,5.2,4.0,0.6282527881040892
305,2019-04-20,2019,LG,키움,2.8,5.6,0.19999999999999998
306,2019-04-20,2019,NC,SK,8.2,4.6,0.7606334841628959
307,2019-04-20,2019,SK,NC,5.8,5.4,0.5356687898089172
308,2019-04-20,2019,KT,롯데,7.6,6.8,0.5553846153846154
309,2019-04-20,2019,롯데,KT,6.8,6.6,0.5149220489977728
310,2019-04-20,2019,두산,KIA,7.6,6.8,0.5553846153846154
311,2019-04-20,2019,KIA,두산,3.2,7.8,0.1440630275745639
312,2019-04-20,2019,삼성,한화,4.0,4.4,0.45248868778280543
313,2019-04-20,2019,한화,삼성,5.8,5.0,0.5736698499317872
314,2019-04-21,2019,키움,LG,5.0,4.6,0.5415944540727904
315,2019-04-21,2019,LG,키움,2.8,6.6,0.15252918287937745
316,2019-04-21,2019,NC,SK,8.2,6.2,0.6362604087812262
317,2019-04-21,2019,SK,NC,7.6,4.6,0.7318803852002028
318,2019-04-21,2019,KT,롯데,6.8,7.6,0.4446153846153846
319,2019-04-21,2019,롯데,KT,5.0,5.0,0.5
320,2019-04-21,2019,두산,KIA,9.2,6.2,0.6876828079298017
321,2019-04-21,2019,KIA,두산,3.4,8.2,0.1467005076142132
322,2019-04-21,2019,삼성,한화,4.6,6.2,0.3550335570469798
323,2019-04-21,2019,한화,삼성,5.8,3.2,0.7666362807657247
324,2019-04-23,2019,KIA,LG,5.2,4.2,0.6051924798567592
325,2019-04-23,2019,LG,KIA,9.0,4.8,0.7785467128027682
326,2019-04-23,2019,NC,KT,5.2,5.4,0.48113879003558724
327,2019-04-23,2019,KT,NC,7.0,4.4,0.716793446459918
328,2019-04-23,2019,두산,키움,3.8,6.4,0.2606498194945848
329,2019-04-23,2019,키움,두산,3.2,8.4,0.12673267326732673
330,2019-04-24,2019,KIA,LG,5.2,5.2,0.5
331,2019-04-24,2019,LG,KIA,9.2,4.0,0.8410174880763116
332,2019-04-24,2019,SK,삼성,5.0,6.4,0.37901758641600963
333,2019-04-24,2019,삼성,SK,6.8,6.4,0.5302752293577981
334,2019-04-24,2019,NC,KT,4.4,5.0,0.43642921550946806
335,2019-04-24,2019,KT,NC,6.8,4.8,0.6674364896073902
336,2019-04-24,2019,두산,키움,5.0,6.0,0.4098360655737705
337,2019-04-24,2019,키움,두산,3.2,7.8,0.1440630275745639
338,2019-04-24,2019,롯데,한화,7.0,5.8,0.5929332042594385
339,2019-04-24,2019,한화,롯데,6.2,6.2,0.5
340,2019-04-25,2019,SK,삼성,5.8,7.4,0.38054298642533935
341,2019-04-25,2019,삼성,SK,6.0,7.6,0.38395904436860073
342,2019-04-25,2019,두산,키움,4.6,6.8,0.313946587537092
343,2019-04-25,2019,키움,두산,4.0,7.8,0.20822488287350338
344,2019-04-26,2019,롯데,두산,4.6,7.4,0.27871443624868275
345,2019-04-26,2019,두산,롯데,6.0,5.4,0.5524861878453039
346,2019-04-26,2019,SK,KT,5.4,4.2,0.6230769230769231
347,2019-04-26,2019,KT,SK,6.0,7.6,0.38395904436860073
348,2019-04-26,2019,KIA,키움,5.2,6.0,0.4289340101522843
349,2019-04-26,2019,키움,KIA,9.2,2.8,0.9152249134948096
350,2019-04-27,2019,롯데,두산,6.0,7.6,0.38395904436860073
351,2019-04-27,2019,두산,롯데,6.4,5.0,0.6209824135839903
352,2019-04-27,2019,LG,삼성,5.8,7.0,0.4070667957405615
353,2019-04-27,2019,삼성,LG,5.6,6.0,0.46555819477434673
354,2019-04-27,2019,한화,NC,6.0,6.6,0.45248868778280543
355,2019-04-27,2019,NC,한화,6.8,5.2,0.631004366812227
356,2019-04-27,2019,SK,KT,4.8,3.0,0.7191011235955056
357,2019-04-27,2019,KT,SK,3.2,5.8,0.23336371923427532
358,2019-04-27,2019,KIA,키움,5.4,6.2,0.43136094674556213
359,2019-04-27,2019,키움,KIA,9.2,2.4,0.9362831858407079
360,2019-04-28,2019,롯데,두산,5.6,7.2,0.37692307692307686
361,2019-04-28,2019,두산,롯데,6.6,4.0,0.7313633310946944
362,2019-04-28,2019,LG,삼성,6.6,6.4,0.5153809749171793
363,2019-04-28,2019,삼성,LG,3.0,7.0,0.15517241379310345
364,2019-04-28,2019,한화,NC,4.0,6.8,0.25706940874035994
365,2019-04-28,2019,NC,한화,8.6,4.4,0.7925417916845263
366,2019-04-28,2019,SK,KT,4.2,2.4,0.7538461538461539
367,2019-04-28,2019,KT,SK,2.6,4.2,0.27704918032786885
368,2019-04-28,2019,KIA,키움,5.6,6.4,0.4336283185840707
369,2019-04-28,2019,키움,KIA,8.0,3.4,0.8470089994706194
370,2019-04-30,2019,KT,LG,1.8,6.8,0.06548100242522233
371,2019-04-30,2019,LG,KT,4.2,1.2,0.9245283018867924
372,2019-04-30,2019,키움,SK,2.4,4.0,0.2647058823529412
373,2019-04-30,2019,SK,키움,4.8,8.4,0.24615384615384617
374,2019-04-30,2019,NC,롯데,7.6,3.4,0.8332371609924986
375,2019-04-30,2019,롯데,NC,2.8,8.0,0.10913140311804007
376,2019-04-30,2019,삼성,KIA,8.8,4.0,0.8287671232876712
377,2019-04-30,2019,KIA,삼성,4.6,5.6,0.40289413556740283
378,2019-04-30,2019,두산,한화,10.0,4.4,0.8378016085790885
379,2019-04-30,2019,한화,두산,5.4,7.2,0.36000000000000004
380,2019-05-01,2019,KT,LG,3.0,7.8,0.12886597938144329
381,2019-05-01,2019,LG,KT,5.4,2.4,0.8350515463917526
382,2019-05-01,2019,키움,SK,3.8,3.2,0.5850891410048622
383,2019-05-01,2019,SK,키움,5.2,9.8,0.21969450763730905
384,2019-05-01,2019,NC,롯데,6.6,4.0,0.7313633310946944
385,2019-05-01,2019,롯데,NC,3.2,8.0,0.13793103448275862
386,2019-05-01,2019,삼성,KIA,7.0,5.2,0.6443976854287217
387,2019-05-01,2019,KIA,삼성,6.2,2.4,0.869683257918552
388,2019-05-01,2019,두산,한화,9.2,2.4,0.9362831858407079
389,2019-05-01,2019,한화,두산,4.2,6.8,0.2761427676894177
390,2019-05-02,2019,KT,LG,3.0,6.6,0.17123287671232879
391,2019-05-02,2019,LG,KT,4.0,2.4,0.7352941176470589
392,2019-05-02,2019,키움,SK,3.2,2.8,0.5663716814159293
393,2019-05-02,2019,SK,키움,4.4,8.0,0.2322456813819578
394,2019-05-02,2019,NC,롯데,7.4,4.2,0.756353591160221
395,2019-05-02,2019,롯데,NC,3.6,9.0,0.13793103448275862
396,2019-05-02,2019,삼성,KIA,7.0,5.0,0.6621621621621622
